date,LTD,strike,c_or_p,open,high,low,close,Final_p,volume,OI,weekdays
2016/6/16,2016-09,9e3,put,0,0,0,0,910,0,76,Thursday
2016/6/16,2016-09,9100,call,21,21,15,15,15,13,12,Thursday
2016/6/16,2016-09,9100,put,0,0,0,0,1e3,0,0,Thursday
2016/6/16,2016-09,9200,call,16,16,10,10.5,10.5,1862,3548,Thursday
2016/6/16,2016-09,9200,put,0,0,0,0,1090,0,37,Thursday
2016/6/16,2016-09,9300,call,8.5,8.5,8.5,8.5,8.5,1,1,Thursday
2016/6/16,2016-09,9300,put,0,0,0,0,1190,0,0,Thursday
2016/6/16,2016-09,9400,call,7,7.2,6,6.7,5.9,23,1702,Thursday
2016/6/16,2016-09,9400,put,0,0,0,0,1290,0,21,Thursday
2016/6/16,2016-09,9500,call,5,5,5,5,5,2,2,Thursday
2016/6/16,2016-09,9500,put,0,0,0,0,1390,0,0,Thursday
2016/6/16,2016-09,9600,call,4.7,4.9,4.3,4.3,4.3,28,1451,Thursday
2016/6/16,2016-09,9600,put,0,0,0,0,1490,0,1,Thursday
2016/6/16,2016-09,9700,call,0,0,0,0,3.3,0,0,Thursday
2016/6/16,2016-09,9700,put,0,0,0,0,1590,0,0,Thursday
2016/6/16,2016-09,9800,call,0,0,0,0,2.3,0,1598,Thursday
2016/6/16,2016-09,9800,put,0,0,0,0,1680,0,1,Thursday
2016/6/16,2016-09,9900,call,2,2.2,2,2.2,2.2,300,300,Thursday
2016/6/16,2016-09,9900,put,0,0,0,0,1780,0,0,Thursday
2016/6/16,2016-09,1e4,call,2,2.1,1.8,1.8,1.8,47,2523,Thursday
2016/6/16,2016-09,1e4,put,0,0,0,0,1880,0,1,Thursday
2016/6/16,2016-09,10200,call,0,0,0,0,1.5,0,0,Thursday
2016/6/16,2016-09,10200,put,0,0,0,0,2080,0,0,Thursday
2016/6/16,2016-09,10400,call,2.9,2.9,2.9,2.9,1.3,3,1668,Thursday
2016/6/16,2016-09,10400,put,0,0,0,0,2280,0,0,Thursday
2016/6/16,2016-09,10600,call,0,0,0,0,1,0,0,Thursday
2016/6/16,2016-09,10600,put,0,0,0,0,2480,0,0,Thursday
2016/6/16,2016-09,10800,call,0,0,0,0,0.6,0,53,Thursday
2016/6/16,2016-09,10800,put,0,0,0,0,2680,0,0,Thursday
2016/6/16,2016-12,6400,call,0,0,0,0,1730,0,0,Thursday
2016/6/16,2016-12,6400,put,50,57,47.5,57,57,811,3403,Thursday
2016/6/16,2016-12,6600,call,0,0,0,0,1540,0,0,Thursday
2016/6/16,2016-12,6600,put,64,75,61,72,72,202,2901,Thursday
2016/6/16,2016-12,6800,call,0,0,0,0,1370,0,7,Thursday
2016/6/16,2016-12,6800,put,81,96,79,96,96,255,2880,Thursday
2016/6/16,2016-12,7e3,call,0,0,0,0,1190,0,0,Thursday
2016/6/16,2016-12,7e3,put,105,122,102,117,117,166,1537,Thursday
2016/6/16,2016-12,7200,call,0,0,0,0,1020,0,15,Thursday
2016/6/16,2016-12,7200,put,131,152,131,152,152,121,914,Thursday
2016/6/16,2016-12,7400,call,900,900,900,900,855,1,32,Thursday
2016/6/16,2016-12,7400,put,162,188,162,187,187,25,669,Thursday
2016/6/16,2016-12,7600,call,745,745,700,700,710,2,42,Thursday
2016/6/16,2016-12,7600,put,210,241,210,236,236,15,1182,Thursday
2016/6/16,2016-12,7800,call,580,580,560,575,575,38,187,Thursday
2016/6/16,2016-12,7800,put,306,306,302,302,302,4,966,Thursday
2016/6/16,2016-12,8e3,call,481,488,440,442,442,20,403,Thursday
2016/6/16,2016-12,8e3,put,365,378,359,378,378,24,543,Thursday
2016/6/16,2016-12,8200,call,372,373,330,330,338,12,3948,Thursday
2016/6/16,2016-12,8200,put,410,467,410,467,467,27,3974,Thursday
2016/6/16,2016-12,8400,call,279,279,240,248,248,20,790,Thursday
2016/6/16,2016-12,8400,put,525,570,515,565,565,11,193,Thursday
2016/6/16,2016-12,8600,call,202,202,166,174,174,56,1615,Thursday
2016/6/16,2016-12,8600,put,0,0,0,0,695,0,104,Thursday
2016/6/16,2016-12,8800,call,143,143,111,117,117,334,1711,Thursday
2016/6/16,2016-12,8800,put,790,850,790,850,840,2,34,Thursday
2016/6/16,2016-12,9e3,call,92,92,72,73,73,366,1887,Thursday
2016/6/16,2016-12,9e3,put,0,0,0,0,995,0,19,Thursday
2016/6/16,2016-12,9200,call,60,60,45,48.5,48.5,95,2255,Thursday
2016/6/16,2016-12,9200,put,0,0,0,0,1170,0,6,Thursday
2016/6/16,2016-12,9400,call,32,33,27,29.5,29.5,200,2078,Thursday
2016/6/16,2016-12,9400,put,0,0,0,0,1350,0,3,Thursday
2016/6/16,2016-12,9600,call,20,20,16.5,17,17,133,1825,Thursday
2016/6/16,2016-12,9600,put,0,0,0,0,1540,0,2,Thursday
2016/6/16,2016-12,9800,call,12,12.5,10.5,11,11,79,2575,Thursday
2016/6/16,2016-12,9800,put,0,0,0,0,1730,0,2,Thursday
2016/6/16,2016-12,1e4,call,9.6,9.6,7,7.4,6.1,33,2667,Thursday
2016/6/16,2016-12,1e4,put,0,0,0,0,1920,0,31,Thursday
2016/6/16,2016-12,10400,call,3.8,3.9,3.8,3.9,3,12,1202,Thursday
2016/6/16,2016-12,10400,put,0,0,0,0,2320,0,1,Thursday
2016/6/16,2016-12,10800,call,0,0,0,0,1.6,0,1633,Thursday
2016/6/16,2016-12,10800,put,0,0,0,0,2710,0,0,Thursday
2016/6/17,2016-09,6e3,call,0,0,0,0,2230,0,1,Friday
2016/6/17,2016-09,6e3,put,7.2,7.6,6.7,6.9,6.9,534,11591,Friday
2016/6/17,2016-09,6100,call,0,0,0,0,2130,0,0,Friday
2016/6/17,2016-09,6100,put,9.1,9.1,9,9,9,20,31,Friday
2016/6/17,2016-09,6200,call,0,0,0,0,2030,0,4,Friday
2016/6/17,2016-09,6200,put,12,12,9.5,9.5,9.5,45,2045,Friday
