date,LTD,strike,c_or_p,open,high,low,close,Final_p,volume,OI,weekdays
2017/10/24,Dec-17,10700,call,182,196,171,192,192,138,1856,Tuesday
2017/10/24,Dec-17,10700,put,162,170,151,158,158,356,1190,Tuesday
2017/10/24,Dec-17,10800,call,125,140,124,138,138,184,8121,Tuesday
2017/10/24,Dec-17,10800,put,215,220,197,204,204,54,498,Tuesday
2017/10/24,Dec-17,10900,call,86,95,81,92,92,295,6195,Tuesday
2017/10/24,Dec-17,10900,put,270,275,250,255,255,19,566,Tuesday
2017/10/24,Dec-17,1.10E+04,call,54,61,51,60,60,583,10523,Tuesday
2017/10/24,Dec-17,1.10E+04,put,331,331,321,325,325,11,59,Tuesday
2017/10/24,Dec-17,11100,call,34,36.5,30,35,35,684,7219,Tuesday
2017/10/24,Dec-17,11100,put,404,404,394,394,400,2,2,Tuesday
2017/10/24,Dec-17,11200,call,20,21.5,17,21,21,796,13395,Tuesday
2017/10/24,Dec-17,11300,call,10.5,12,9.8,10.5,10.5,435,6605,Tuesday
2017/10/24,Dec-17,11300,put,595,595,595,595,575,1,0,Tuesday
2017/10/24,Dec-17,11400,call,6.5,6.7,5.8,6.4,6.4,195,3697,Tuesday
2017/10/24,Dec-17,11500,call,4.1,4.2,3.6,3.8,3.8,230,936,Tuesday
2017/10/24,Dec-17,11600,call,3,3,2.5,2.6,2.6,129,5601,Tuesday
2017/10/24,Dec-17,11700,call,1.7,1.9,1.7,1.9,1.9,92,480,Tuesday
2017/10/24,Dec-17,11800,call,1.4,1.5,1.4,1.4,1.4,44,1939,Tuesday
2017/10/24,Dec-17,11900,call,1.1,1.1,1.1,1.1,1.1,4,358,Tuesday
2017/10/24,Dec-17,1.20E+04,call,0.9,0.9,0.9,0.9,0.9,104,11787,Tuesday
2017/10/24,Dec-17,12600,call,0.4,0.4,0.4,0.4,0.4,1,163,Tuesday
2017/10/24,Dec-17,12700,call,0.4,0.4,0.4,0.4,0.4,40,73,Tuesday
2017/10/25,Dec-17,7600,put,0.7,0.8,0.7,0.7,0.7,75,7424,Wednesday
2017/10/25,Dec-17,7800,put,0.8,0.9,0.8,0.9,0.9,39,2014,Wednesday
2017/10/25,Dec-17,7900,put,1,1,1,1,1,10,405,Wednesday
2017/10/25,Dec-17,8.00E+03,put,1.1,1.2,1.1,1.2,1.2,46,3806,Wednesday
2017/10/25,Dec-17,8100,put,1.3,1.3,1.3,1.3,1.3,50,409,Wednesday
2017/10/25,Dec-17,8200,put,1.6,1.6,1.5,1.5,1.5,35,2165,Wednesday
2017/10/25,Dec-17,8300,put,1.7,1.7,1.7,1.7,1.7,100,437,Wednesday
2017/10/25,Dec-17,8400,put,2,2,1.9,2,2,79,4676,Wednesday
2017/10/25,Dec-17,8500,put,2.1,2.1,2.1,2.1,2.1,55,1122,Wednesday
2017/10/25,Dec-17,8600,put,2.3,2.5,2.3,2.5,2.5,58,8415,Wednesday
2017/10/25,Dec-17,8700,put,2.6,2.7,2.6,2.6,2.6,44,1744,Wednesday
2017/10/25,Dec-17,8800,put,3,3.1,2.9,3.1,3.1,149,24292,Wednesday
2017/10/25,Dec-17,8900,put,3.4,3.4,3.4,3.4,3.4,1,889,Wednesday
2017/10/25,Dec-17,9.00E+03,put,3.8,4.2,3.8,4.2,4.2,470,19121,Wednesday
2017/10/25,Dec-17,9100,put,4.3,4.8,4.3,4.8,4.8,217,2574,Wednesday
2017/10/25,Dec-17,9200,put,5.6,5.7,5.6,5.7,5.7,105,12552,Wednesday
2017/10/25,Dec-17,9300,put,6.8,7.2,6.8,7.2,7.2,1788,11188,Wednesday
2017/10/25,Dec-17,9400,put,8,8.7,7.9,8.7,8.7,130,17585,Wednesday
2017/10/25,Dec-17,9500,put,8.7,10,8.7,10,10,136,5747,Wednesday
2017/10/25,Dec-17,9600,call,1170,1170,1150,1150,1140,2,295,Wednesday
2017/10/25,Dec-17,9600,put,10.5,12,10.5,11.5,11.5,292,10313,Wednesday
2017/10/25,Dec-17,9700,put,12.5,14.5,12.5,14,14,229,5647,Wednesday
2017/10/25,Dec-17,9800,call,945,945,945,945,945,3,1022,Wednesday
2017/10/25,Dec-17,9800,put,16,18.5,16,17,17,332,9351,Wednesday
2017/10/25,Dec-17,9900,put,19,22.5,19,21.5,21.5,538,6715,Wednesday
2017/10/25,Dec-17,1.00E+04,call,755,755,755,755,755,10,1560,Wednesday
2017/10/25,Dec-17,1.00E+04,put,25.5,28,24,27,27,1073,12400,Wednesday
2017/10/25,Dec-17,10100,call,675,685,660,660,660,8,35,Wednesday
2017/10/25,Dec-17,10100,put,30,36,30,33.5,33.5,1282,7345,Wednesday
2017/10/25,Dec-17,10200,call,580,580,575,575,575,41,1141,Wednesday
2017/10/25,Dec-17,10200,put,38.5,45.5,38.5,45,45,1262,8355,Wednesday
2017/10/25,Dec-17,10300,call,486,486,486,486,486,1,585,Wednesday
2017/10/25,Dec-17,10300,put,49,58,47,56,56,637,5654,Wednesday
2017/10/25,Dec-17,10400,call,410,410,398,400,400,13,6665,Wednesday
2017/10/25,Dec-17,10400,put,68,76,65,73,73,451,3584,Wednesday
2017/10/25,Dec-17,10500,call,342,350,318,320,321,34,844,Wednesday
2017/10/25,Dec-17,10500,put,86,98,84,95,95,458,2955,Wednesday
2017/10/25,Dec-17,10600,call,269,271,252,255,255,122,1919,Wednesday
2017/10/25,Dec-17,10600,put,114,127,110,125,125,465,1165,Wednesday
2017/10/25,Dec-17,10700,call,203,213,185,189,189,163,1901,Wednesday
2017/10/25,Dec-17,10700,put,152,163,145,161,161,205,1230,Wednesday
2017/10/25,Dec-17,10800,call,148,153,133,135,135,348,7943,Wednesday
2017/10/25,Dec-17,10800,put,192,211,187,207,207,88,504,Wednesday
2017/10/25,Dec-17,10900,call,104,106,88,89,89,404,6257,Wednesday
2017/10/25,Dec-17,10900,put,243,265,241,265,265,52,590,Wednesday
2017/10/25,Dec-17,1.10E+04,call,65,68,56,56,56,652,10671,Wednesday
2017/10/25,Dec-17,1.10E+04,put,308,326,306,323,326,25,66,Wednesday
2017/10/25,Dec-17,11100,call,38.5,42,33.5,34,34,491,7579,Wednesday
2017/10/25,Dec-17,11200,call,10.5,24,10.5,19.5,19.5,999,13500,Wednesday
