date,LTD,strike,c_or_p,open,high,low,close,Final_p,volume,OI,weekdays
2014/9/16,2014-09,8950,put,0.9,1,0.5,1,1,1214,2213,Tuesday
2014/9/16,2014-09,9000,call,227,227,145,154,154,520,6703,Tuesday
2014/9/16,2014-09,9000,put,1.7,1.9,0.7,1.5,1.5,10781,43032,Tuesday
2014/9/16,2014-09,9050,call,178,178,95,105,105,1984,1264,Tuesday
2014/9/16,2014-09,9050,put,2,3.5,1.3,3,3,13552,8918,Tuesday
2014/9/16,2014-09,9100,call,125,134,49.5,59,59,17208,7542,Tuesday
2014/9/16,2014-09,9100,put,3.8,8.8,2.5,6.9,6.9,58056,57388,Tuesday
2014/9/16,2014-09,9150,call,80,89,17.5,23.5,23.5,55606,17749,Tuesday
2014/9/16,2014-09,9150,put,8.9,26,6.9,21,21,67105,21870,Tuesday
2014/9/16,2014-09,9200,call,43.5,49.5,5.3,7.4,7.4,87219,39267,Tuesday
2014/9/16,2014-09,9200,put,21,63,17.5,54,54,101076,39413,Tuesday
2014/9/16,2014-09,9250,call,18,23,1.6,2.2,2.2,68989,29292,Tuesday
2014/9/16,2014-09,9250,put,47,111,41,84,99,38073,16014,Tuesday
2014/9/16,2014-09,9300,call,7.9,8.4,0.8,1.3,1.3,33067,37251,Tuesday
2014/9/16,2014-09,9300,put,81,160,77,149,149,19320,18178,Tuesday
2014/9/16,2014-09,9350,call,4,4,0.6,0.9,0.9,14460,32723,Tuesday
2014/9/16,2014-09,9350,put,128,209,122,194,197,6516,7505,Tuesday
2014/9/16,2014-09,9400,call,1.5,1.8,0.6,0.9,0.9,12290,52918,Tuesday
2014/9/16,2014-09,9400,put,161,259,161,247,247,3141,13015,Tuesday
2014/9/16,2014-09,9450,call,0.9,1,0.4,0.6,0.6,5735,23605,Tuesday
2014/9/16,2014-09,9450,put,233,308,233,306,296,89,1304,Tuesday
2014/9/16,2014-09,9500,call,0.8,0.8,0.3,0.5,0.5,6624,54803,Tuesday
2014/9/16,2014-09,9500,put,271,359,270,349,349,666,6789,Tuesday
2014/9/16,2014-09,9550,call,0.4,0.5,0.3,0.3,0.3,2158,13760,Tuesday
2014/9/16,2014-09,9550,put,325,401,325,400,400,29,244,Tuesday
2014/9/16,2014-09,9600,call,0.6,0.6,0.2,0.3,0.3,3900,61147,Tuesday
2014/9/16,2014-09,9600,put,384,458,384,450,450,501,5329,Tuesday
2014/9/16,2014-09,9650,call,0.2,0.4,0.1,0.3,0.3,289,7322,Tuesday
2014/9/16,2014-09,9650,put,0,0,0,0,500,0,20,Tuesday
2014/9/16,2014-09,9700,call,0.2,0.5,0.1,0.3,0.3,3887,54897,Tuesday
2014/9/16,2014-09,9700,put,500,555,500,555,550,31,1021,Tuesday
2014/9/16,2014-09,9800,call,0.2,0.3,0.1,0.2,0.1,5449,36557,Tuesday
2014/9/16,2014-09,9800,put,620,655,620,655,650,11,1347,Tuesday
2014/9/16,2014-09,9900,call,0.1,0.3,0.1,0.1,0.1,1628,12824,Tuesday
2014/9/16,2014-09,9900,put,750,750,750,750,750,4,684,Tuesday
2014/9/16,2014-09,10000,call,0.1,0.2,0.1,0.1,0.1,356,6835,Tuesday
2014/9/16,2014-09,10000,put,0,0,0,0,850,0,32,Tuesday
2014/9/16,2014-09,10200,call,0.1,0.1,0.1,0.1,0.1,360,2277,Tuesday
2014/9/16,2014-09,10200,put,0,0,0,0,1050,0,3,Tuesday
2014/9/16,2014-09,10400,call,0,0,0,0,0.1,0,2808,Tuesday
2014/9/16,2014-09,10400,put,0,0,0,0,1250,0,4,Tuesday
2014/9/16,2014-09,10600,call,0,0,0,0,0.1,0,424,Tuesday
2014/9/16,2014-09,10600,put,0,0,0,0,1450,0,3,Tuesday
2014/9/16,2014-09,10800,call,0,0,0,0,0.1,0,1242,Tuesday
2014/9/16,2014-09,10800,put,0,0,0,0,1650,0,10,Tuesday
2014/9/16,2014-09,11000,call,0,0,0,0,0.1,0,495,Tuesday
2014/9/16,2014-09,11000,put,0,0,0,0,1850,0,7,Tuesday
2014/9/16,2014-09,11200,call,0,0,0,0,0.1,0,1003,Tuesday
2014/9/16,2014-09,11200,put,0,0,0,0,2050,0,13,Tuesday
